YEAR,MONTH,DAY,DAY_OF_WEEK,FlightDate,AIRLINE,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,TAIL_NUMBER,FLIGHT_NUMBER,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,ORIGIN_AIRPORT,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,DESTINATION_AIRPORT,DestCityName,DestState,DestStateFips,DestStateName,DestWac,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,CANCELLED,CancellationCode,DIVERTED,CRSElapsedTime,ELAPSED_TIME,AIR_TIME,Flights,DISTANCE,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings
2019,1,4,5,1/4/19,OO,20304,OO,N945SW,5657,14698,1469802,34236,SBP,"San Luis Obispo, CA",CA,6,California,91,14771,1477104,32457,SFO,"San Francisco, CA",CA,6,California,91,1400,1353,-7,0,0,-1,1400-1459,9,1402,1439,5,1510,1444,-26,0,0,-2,1500-1559,0,,0,70,51,37,1,190,1,,,,,,,,,0
2019,1,4,5,1/4/19,OO,20304,OO,N932SW,5658,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,15919,1591904,31834,XNA,"Fayetteville, AR",AR,5,Arkansas,71,935,930,-5,0,0,-1,0900-0959,27,957,1113,6,1118,1119,1,1,0,0,1100-1159,0,,0,103,109,76,1,438,2,,,,,,,,,0
2019,1,4,5,1/4/19,OO,20304,OO,N932SW,5658,14783,1478302,34783,SGF,"Springfield, MO",MO,29,Missouri,64,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,643,637,-6,0,0,-1,0600-0659,17,654,822,16,855,838,-17,0,0,-2,0800-0859,0,,0,132,121,88,1,513,3,,,,,,,,,0
2019,1,4,5,1/4/19,OO,20304,OO,N916SW,5659,12389,1238902,32389,ISN,"Williston, ND",ND,38,North Dakota,66,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,1335,1314,-21,0,0,-2,1300-1359,23,1337,1357,7,1433,1404,-29,0,0,-2,1400-1459,0,,0,118,110,80,1,576,3,,,,,,,,,0
2019,1,4,5,1/4/19,OO,20304,OO,N107SY,5660,13342,1334207,33342,MKE,"Milwaukee, WI",WI,55,Wisconsin,45,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,836,826,-10,0,0,-1,0800-0859,26,852,959,10,1040,1009,-31,0,0,-2,1000-1059,0,,0,184,163,127,1,896,4,,,,,,,,,0
2019,1,4,5,1/4/19,OO,20304,OO,N114SY,5661,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,14771,1477104,32457,SFO,"San Francisco, CA",CA,6,California,91,1610,1600,-10,0,0,-1,1600-1659,21,1621,1811,3,1826,1814,-12,0,0,-1,1800-1859,0,,0,136,134,110,1,679,3,,,,,,,,,0
2019,1,4,5,1/4/19,OO,20304,OO,N945SW,5664,14771,1477104,32457,SFO,"San Francisco, CA",CA,6,California,91,10713,1071302,30713,BOI,"Boise, ID",ID,16,Idaho,83,1615,1614,-1,0,0,-1,1600-1659,29,1643,1855,4,1856,1859,3,3,0,0,1800-1859,0,,0,101,105,72,1,522,3,,,,,,,,,0
2019,1,4,5,1/4/19,OO,20304,OO,N679SA,5665,10849,1084905,30849,BZN,"Bozeman, MT",MT,30,Montana,84,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,1045,1053,8,8,0,0,1000-1059,14,1107,1218,8,1240,1226,-14,0,0,-1,1200-1259,0,,0,115,93,71,1,524,3,,,,,,,,,0
2019,1,4,5,1/4/19,OO,20304,OO,N925SW,5667,14698,1469802,34236,SBP,"San Luis Obispo, CA",CA,6,California,91,14771,1477104,32457,SFO,"San Francisco, CA",CA,6,California,91,637,624,-13,0,0,-1,0600-0659,44,708,745,4,751,749,-2,0,0,-1,0700-0759,0,,0,74,85,37,1,190,1,,,,,,,,,0
2019,1,4,5,1/4/19,OO,20304,OO,N145SY,5668,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,803,759,-4,0,0,-1,0800-0859,19,818,1053,15,1107,1108,1,1,0,0,1100-1159,0,,0,124,129,95,1,641,3,,,,,,,,,0
